,Area Code,Year Code,Gender Code,Fatalities,Percentage:Hypertension,Percentage:Diabetes,Inhabitants,Fatalities_per_100000,Age_std_mortality,MeanAge,PrematureFatalities,PrematureFatalitiesPercent,PrematureFatalityASR,PotentialLifeLost,PLLper1000,PAFpercent
3242,6,2,1,177,5,5,14914,1187,706,81,51,29,262,744,56,55
3243,6,3,1,156,5,5,14916,1046,622,79,61,39,297,952,71,52
3244,6,4,1,191,5,5,14982,1275,760,80,71,37,372,999,75,55
3245,6,0,1,293,6,6,32230,909,807,79,114,39,335,2079,69,60
3246,6,1,1,269,5,5,32520,827,704,80,98,36,281,2075,68,52
3247,6,2,1,247,5,5,32803,753,636,78,101,41,286,1669,55,44
3248,6,3,1,249,5,5,33086,753,620,78,101,41,276,1505,49,53
3249,6,4,1,329,5,5,33301,988,817,79,128,39,364,2390,77,59
3250,6,0,1,221,5,5,17879,1236,841,79,86,39,348,1138,69,58
3251,6,1,1,195,5,5,17843,1093,726,78,80,41,329,1093,67,56
3252,6,2,1,190,5,5,17791,1068,688,80,75,40,308,1066,66,51
3253,6,3,1,177,4,4,17816,994,623,80,62,35,236,818,50,58
3254,6,4,1,204,6,6,17797,1146,730,79,78,38,315,1159,72,49
3255,6,0,1,203,5,5,18974,1070,783,79,82,40,354,1237,71,56
3256,6,1,1,189,5,5,19015,994,700,81,62,33,253,945,54,47
3257,6,2,1,158,6,6,18991,832,585,79,61,39,252,894,51,56
3258,6,3,1,180,4,4,19013,947,638,79,60,33,228,764,44,48
3259,6,4,1,211,5,5,18982,1112,747,79,87,41,345,1216,70,55
3260,6,0,1,198,5,5,24830,797,653,78,85,43,301,1371,59,48
3261,6,1,1,217,6,6,24991,868,690,78,90,42,312,1558,67,46
3262,6,2,1,228,5,5,25225,904,707,80,85,37,283,1307,56,65
3263,6,3,1,202,5,5,25401,795,633,80,69,34,234,1148,48,49
3264,6,4,1,228,5,5,25617,890,689,77,96,42,305,1485,62,54
3265,6,0,1,199,6,6,36808,541,578,78,85,43,220,1310,37,49
3266,6,1,1,220,6,6,36908,596,627,77,94,43,243,1676,48,46
3267,6,2,1,273,5,5,37226,733,763,79,107,39,266,1897,54,55
3268,6,3,1,232,5,5,37326,622,636,80,90,39,218,1445,41,48
3269,6,4,1,243,6,6,37436,649,644,77,113,46,271,1864,53,56
3270,6,0,1,311,5,5,41259,754,588,78,113,36,225,1703,44,62
3271,6,1,1,313,5,5,42105,743,555,80,107,34,205,1507,39,50
3272,6,2,1,329,4,4,42855,768,558,81,116,35,220,1829,46,57
3273,6,3,1,358,6,6,43669,820,600,79,136,38,251,1949,48,46
3274,6,4,1,364,5,5,44572,817,574,79,132,36,222,1681,41,47
3275,6,0,1,202,5,5,34934,578,612,78,88,44,253,1362,41,57
3276,6,1,1,223,6,6,35071,636,660,77,99,44,284,1798,54,48
3277,6,2,1,208,5,5,35374,588,598,76,96,46,269,1648,49,55
3278,6,3,1,213,6,6,35632,598,598,76,93,44,256,1349,40,47
3279,6,4,1,227,4,4,35983,631,608,78,88,39,237,1304,38,58
3280,6,0,1,112,6,6,20453,548,519,77,39,35,190,820,43,51
3281,6,1,1,112,5,5,20604,544,490,80,44,39,203,789,41,57
3282,6,2,1,114,4,4,20949,544,468,81,38,33,165,499,25,60
3283,6,3,1,110,5,5,21268,517,445,80,34,31,148,535,27,53
3284,6,4,1,122,4,4,21741,561,471,84,36,30,158,586,29,44
3285,6,0,1,211,5,5,34569,610,549,80,77,36,238,1435,44,46
3286,6,1,1,232,5,5,34806,667,569,81,74,32,228,1167,36,55
3287,6,2,1,265,5,5,35304,751,653,80,94,36,287,1662,50,46
3288,6,3,1,236,4,4,35848,658,551,82,75,32,220,1448,43,55
3289,6,4,1,302,6,6,36300,832,708,81,101,33,291,1432,42,46
3290,6,0,1,116,5,5,19836,585,671,80,44,38,232,969,51,61
3291,6,1,1,110,4,4,20252,543,632,79,44,40,220,1067,55,66
3292,6,2,1,122,4,4,20666,590,672,74,63,52,324,1036,52,57
3293,6,3,1,109,6,6,21178,515,579,76,50,46,252,767,38,56
3294,6,4,1,117,4,4,21732,538,580,75,58,50,274,1119,54,53
3295,6,0,1,241,6,6,28864,835,798,79,86,36,296,1462,54,48
3296,6,1,1,256,6,6,29365,872,822,79,90,35,301,1242,45,52
3297,6,2,1,238,5,5,29971,794,761,79,86,36,280,1222,43,54
3298,6,3,1,246,6,6,30279,812,788,81,80,32,259,1121,39,50
3299,6,4,1,248,6,6,30667,809,777,79,96,39,297,1429,49,50
3300,6,0,1,140,5,5,25127,557,576,78,58,41,246,735,31,55
3301,6,1,1,134,6,6,25480,526,522,80,51,38,215,569,24,49
3302,6,2,1,151,4,4,25915,583,580,80,53,35,212,833,34,55
3303,6,3,1,149,4,4,26359,565,549,81,52,35,205,836,34,52
3304,6,4,1,142,5,5,26732,531,502,79,57,40,221,820,32,47
3305,6,0,1,237,4,4,36596,648,809,79,97,41,318,2050,58,59
3306,6,1,1,208,5,5,37144,560,675,74,107,51,350,2033,57,50
3307,6,2,1,211,4,4,38080,554,673,78,91,43,284,1867,51,56
3308,6,3,1,193,4,4,38840,497,599,80,77,40,232,1460,39,46
3309,6,4,1,206,5,5,39481,522,602,79,87,42,254,1461,39,61
3310,6,0,1,216,5,5,35755,604,628,79,74,34,219,1547,46,51
3311,6,1,1,204,6,6,36354,561,580,80,70,34,204,1253,36,57
3312,6,2,1,197,5,5,37111,531,538,80,71,36,206,1279,36,54
3313,6,3,1,206,5,5,37817,545,559,80,72,35,206,1077,30,54
3314,6,4,1,204,5,5,38476,530,536,80,76,37,217,1499,41,57
3315,6,0,1,107,4,4,20123,532,582,80,39,36,225,785,41,54
3316,6,1,1,94,6,6,20305,463,522,76,45,48,262,871,45,53
3317,6,2,1,132,5,5,20583,641,729,82,44,33,263,583,30,52
3318,6,3,1,109,5,5,20829,523,598,77,50,46,289,896,45,46
3319,6,4,1,101,5,5,21103,479,509,81,38,38,204,995,50,55
3320,6,0,1,158,6,6,30330,521,751,77,70,44,263,1134,39,61
3321,6,1,1,134,4,4,31040,432,596,75,64,48,241,1165,39,62
3322,6,2,1,158,4,4,31659,499,676,75,77,49,282,1112,36,61
3323,6,3,1,161,5,5,32075,502,697,79,61,38,210,1307,42,51
3324,6,4,1,147,5,5,32570,451,616,78,59,40,197,1363,43,51
3325,6,0,1,109,5,5,26073,418,500,79,47,43,197,844,34,45
3326,6,1,1,113,5,5,26259,430,466,74,58,51,238,1075,43,55
3327,6,2,1,138,5,5,26576,519,591,79,53,38,215,827,33,43
3328,6,3,1,109,5,5,26653,409,460,81,34,31,137,599,24,62
3329,6,4,1,122,5,5,26899,454,507,80,47,38,193,723,28,45
3330,6,0,1,90,5,5,16960,531,601,81,29,32,160,566,35,55
3331,6,1,1,92,5,5,16798,548,609,78,34,37,184,668,42,32
3332,6,2,1,89,6,6,16797,530,590,81,31,35,164,484,30,45
3333,6,3,1,87,5,5,16775,519,558,83,27,31,134,344,22,37
3334,6,4,1,103,5,5,16785,614,601,77,43,42,226,666,42,49
3335,6,0,1,123,6,6,23154,531,514,84,35,28,139,658,30,46
3336,6,1,1,121,5,5,23342,518,484,80,44,36,179,700,32,50
3337,6,2,1,118,4,4,23539,501,450,81,40,34,151,548,25,48
3338,6,3,1,128,5,5,23634,542,485,83,30,23,117,544,24,60
3339,6,4,1,131,4,4,23671,553,478,81,42,32,161,694,31,40
3340,6,0,1,97,6,6,25805,376,466,83,27,28,124,586,24,48
3341,6,1,1,106,5,5,26230,404,495,80,39,37,173,846,34,49
3342,6,2,1,94,5,5,26748,351,417,82,35,37,156,352,14,54
3343,6,3,1,108,6,6,27105,398,479,81,35,32,156,707,27,51
3344,6,4,1,122,6,6,27375,446,513,82,38,31,165,593,23,40
3345,6,0,1,130,5,5,25446,511,552,82,46,35,185,901,37,48
3346,6,1,1,140,5,5,25596,547,577,83,43,31,173,646,26,42
3347,6,2,1,147,6,6,25994,566,580,83,46,31,183,591,24,41
3348,6,3,1,138,5,5,26366,523,540,78,55,40,216,867,35,49
3349,6,4,1,148,5,5,26816,552,564,80,53,36,208,854,34,43
3350,6,0,1,183,5,5,36145,506,730,73,96,52,317,2115,60,57
3351,6,1,1,209,6,6,37251,561,781,72,116,56,362,2217,62,66
3352,6,2,1,208,5,5,38649,538,786,72,108,52,339,2615,70,62
3353,6,3,1,161,5,5,40208,400,560,72,89,55,261,2121,55,60
3354,6,4,1,191,5,5,41977,455,608,72,105,55,290,2064,51,54
3355,6,0,1,85,6,6,21033,404,631,77,39,46,236,760,37,59
3356,6,1,1,74,5,5,21213,349,585,75,36,49,229,546,26,53
3357,6,2,1,83,5,5,21542,385,615,76,40,48,212,843,40,50
3358,6,3,1,78,4,4,21897,356,541,74,39,50,210,740,35,44
3359,6,4,1,82,5,5,22453,365,542,78,34,42,176,587,27,56
3360,6,0,1,185,4,4,43896,422,578,73,94,51,254,1788,42,48
3361,6,1,1,190,5,5,45064,422,576,70,111,58,286,2289,52,60
3362,6,2,1,171,5,5,46712,366,494,75,84,49,205,1860,41,57
3363,6,3,1,165,5,5,48273,342,450,77,75,46,175,1246,27,51
3364,6,4,1,227,4,4,49645,457,578,77,103,45,228,2053,43,52
3365,6,0,1,111,5,5,29009,383,591,78,49,44,210,944,34,59
3366,6,1,1,92,5,5,29209,315,490,76,44,48,178,688,24,48
3367,6,2,1,100,4,4,29756,336,515,75,47,47,190,624,22,51
3368,6,3,1,84,4,4,30299,277,391,72,43,51,161,783,27,35
3369,6,4,1,121,5,5,30686,394,515,74,65,54,238,1179,40,49
3370,6,0,1,114,5,5,26301,433,584,71,66,58,238,1138,45,59
3371,6,1,1,158,5,5,26806,589,751,70,99,63,342,1902,74,48
3372,6,2,1,134,5,5,27288,491,605,72,76,57,257,1181,45,51
3373,6,3,1,167,6,6,27768,601,744,73,89,53,295,1732,65,55
3374,6,4,1,151,4,4,28118,537,621,75,74,49,217,1013,38,45
3375,6,0,1,326,4,4,51171,637,715,70,190,58,365,3866,79,58
3376,6,1,1,352,4,4,51313,686,777,72,198,56,377,3450,70,53
3377,6,2,1,370,6,6,51732,715,800,74,193,52,354,3582,72,54
3378,6,3,1,372,4,4,52077,714,753,72,206,55,368,3520,71,50
3379,6,4,1,409,4,4,52339,781,791,72,233,57,413,4142,83,57
3380,6,0,1,164,5,5,18200,901,756,76,73,44,338,1215,72,60
3381,6,1,1,162,5,5,18266,887,711,76,74,46,329,1242,73,53
3382,6,2,1,182,6,6,18389,990,818,74,91,50,442,1779,104,62
3383,6,3,1,166,5,5,18478,898,686,75,78,47,331,1207,70,54
3384,6,4,1,178,5,5,18508,962,706,78,74,42,305,1040,61,49
3385,6,0,1,46,4,4,6022,764,694,74,24,52,323,417,73,46
3386,6,1,1,45,5,5,6084,740,603,69,29,64,360,443,77,48
3387,6,2,1,58,5,5,6154,942,826,76,26,45,330,430,74,69
3388,6,3,1,46,5,5,6141,749,622,74,24,52,308,370,65,58
3389,6,4,1,48,5,5,6221,772,592,72,26,54,302,322,56,42
3390,6,0,1,187,5,5,20202,925,693,76,88,47,354,1627,88,53
3391,6,1,1,220,4,4,20355,1081,784,79,85,39,356,1512,81,55
3392,6,2,1,211,4,4,20451,1032,721,76,101,48,400,1659,89,48
3393,6,3,1,236,5,5,20645,1143,795,76,106,45,430,1889,101,57
3394,6,4,1,197,5,5,20664,953,608,74,100,51,350,1469,79,45
3395,6,0,1,172,5,5,23287,739,674,75,83,48,332,1533,70,68
3396,6,1,1,170,5,5,23083,736,705,77,68,40,264,1208,56,62
3397,6,2,1,171,6,6,23135,739,662,75,84,49,324,1337,62,60
3398,6,3,1,194,4,4,23098,840,750,78,80,41,314,1650,76,55
3399,6,4,1,224,5,5,23082,970,820,76,97,43,352,1511,70,60
3400,6,0,1,229,6,6,21661,1057,891,78,94,41,370,1438,71,58
3401,6,1,1,173,6,6,21702,797,653,75,84,49,333,1408,70,48
3402,6,2,1,177,5,5,21743,814,636,78,76,43,296,1172,58,55
3403,6,3,1,201,5,5,21697,926,692,78,77,38,283,1093,54,56
3404,6,4,1,220,4,4,21672,1015,764,75,104,47,406,1762,88,55
3405,6,0,1,206,6,6,20051,1027,750,79,78,38,288,1180,64,49
3406,6,1,1,189,5,5,20154,938,655,77,81,43,284,1046,56,46
3407,6,2,1,203,5,5,20163,1007,680,77,88,43,302,1083,59,57
3408,6,3,1,216,6,6,20234,1068,688,81,73,34,244,896,49,37
3409,6,4,1,198,4,4,20164,982,635,79,78,39,278,941,52,55
3410,6,0,1,52,5,5,15869,328,530,72,34,65,261,695,45,82
3411,6,1,1,62,5,5,15631,397,752,74,32,52,233,697,46,53
3412,6,2,1,62,5,5,15591,398,676,70,36,58,262,798,52,69
3413,6,3,1,59,6,6,15515,380,554,69,35,59,244,989,66,63
3414,6,4,1,79,5,5,15568,508,731,70,45,57,302,960,64,56
3415,6,0,1,455,4,4,59516,764,724,77,207,46,335,3683,66,56
3416,6,1,1,474,4,4,59352,799,747,76,222,47,348,3530,63,56
3417,6,2,1,462,5,5,59319,779,708,76,213,46,322,3389,61,60
3418,6,3,1,496,5,5,59363,836,747,76,228,46,349,3824,69,53
3419,6,4,1,472,6,6,59550,793,688,76,218,46,323,3514,63,53
3420,6,0,1,54,6,6,7624,708,702,74,27,50,345,430,60,70
3422,6,2,1,48,5,5,7439,645,684,76,21,44,253,260,37,67
3423,6,3,1,60,5,5,7341,817,858,77,24,40,302,456,66,71
3425,6,0,1,151,5,5,32828,460,619,70,84,56,255,1775,56,57
3426,6,1,1,154,6,6,32396,475,693,73,87,56,284,1649,52,56
3427,6,2,1,174,4,4,32205,540,742,71,103,59,314,2030,65,54
3428,6,3,1,170,6,6,32182,528,679,73,98,58,293,1734,56,66
3429,6,4,1,174,5,5,32318,538,707,72,99,57,280,1410,45,59
3430,6,0,1,214,5,5,31018,690,566,77,95,44,286,1877,65,57
3431,6,1,1,210,5,5,31225,672,524,80,76,36,217,1308,45,49
3432,6,2,1,236,6,6,31469,750,565,82,71,30,191,981,34,49
3433,6,3,1,220,5,5,31645,695,517,80,76,34,201,1203,41,53
3434,6,4,1,229,6,6,31739,722,520,81,81,35,220,1412,48,46
3435,6,0,1,211,4,4,26601,793,573,82,64,30,199,875,36,52
3436,6,1,1,214,5,5,26947,794,556,79,88,41,273,1292,52,51
3437,6,2,1,243,4,4,27263,891,626,82,69,28,213,1124,45,55
3438,6,3,1,219,5,5,27635,792,562,78,91,42,272,1368,54,52
3439,6,4,1,230,6,6,28085,819,574,80,81,35,232,1176,45,42
3440,6,0,1,319,5,5,32127,993,672,80,107,34,262,1712,58,52
3441,6,1,1,324,6,6,32628,993,654,77,134,41,322,2038,69,52
3442,6,2,1,364,5,5,33083,1100,718,80,128,35,316,1993,67,53
3443,6,3,1,367,4,4,33555,1094,692,80,135,37,308,1858,61,44
3444,6,4,1,311,6,6,33968,916,564,78,131,42,283,1624,53,48
3445,6,0,1,42,5,5,9213,456,446,76,21,50,203,398,46,52
3446,6,1,1,52,5,5,9358,556,516,80,21,40,176,365,42,33
3447,6,2,1,63,5,5,9524,662,567,73,34,54,280,562,63,65
3448,6,3,1,53,5,5,9670,548,460,72,29,55,238,462,51,45
3450,6,0,1,72,5,5,16714,431,522,77,33,46,197,655,41,58
3451,6,1,1,85,5,5,16845,505,601,77,36,42,210,680,42,47
3452,6,2,1,102,5,5,17186,594,647,76,48,47,266,877,54,56
3453,6,3,1,100,5,5,17453,573,643,79,36,36,202,667,40,64
3454,6,4,1,95,4,4,17661,538,587,80,29,30,154,574,34,59
3455,6,0,1,190,5,5,33729,563,575,76,94,50,269,1847,58,55
3456,6,1,1,153,5,5,33953,451,438,77,71,46,199,995,31,54
3457,6,2,1,221,5,5,34410,642,615,77,93,42,257,1760,54,56
3458,6,3,1,181,4,4,34898,519,482,77,79,44,209,1237,38,44
3459,6,4,1,179,6,6,35173,509,451,77,76,42,191,1043,32,57
3460,6,0,1,226,4,4,57913,390,568,73,117,52,220,2088,37,59
3461,6,1,1,263,6,6,61383,428,632,75,126,48,219,2377,40,50
3462,6,2,1,299,4,4,65378,457,650,75,149,50,246,3037,48,55
3463,6,3,1,258,5,5,69660,370,510,73,135,52,209,2449,36,40
3464,6,4,1,296,4,4,73590,402,532,74,158,53,234,2680,38,54
3465,6,0,1,168,5,5,24179,695,606,78,64,38,249,831,37,58
3466,6,1,1,185,6,6,24389,758,619,81,48,26,183,651,29,40
3467,6,2,1,170,6,6,24987,680,558,82,50,29,190,638,27,48
3468,6,3,1,194,5,5,25523,760,637,81,67,34,248,970,41,42
3469,6,4,1,192,6,6,25842,743,608,83,57,30,205,878,36,46
3470,6,0,1,245,5,5,29445,832,749,80,79,32,265,1306,47,47
3471,6,1,1,236,5,5,29858,790,651,82,72,30,230,1201,43,53
3472,6,2,1,276,5,5,30396,908,770,80,94,34,288,1270,45,49
3473,6,3,1,266,6,6,30749,865,744,80,97,36,302,1571,55,53
3474,6,4,1,267,5,5,30880,865,740,79,98,37,296,1487,52,51
3475,6,0,1,128,4,4,20986,610,526,76,57,44,233,891,45,61
3476,6,1,1,129,5,5,21461,601,512,80,50,39,202,947,47,46
3477,6,2,1,133,5,5,22064,603,482,77,55,41,202,835,41,47
3478,6,3,1,120,5,5,22337,537,422,78,48,40,180,799,39,60
3479,6,4,1,122,6,6,22662,538,411,76,57,47,214,911,44,63
3480,6,0,1,170,5,5,37071,459,580,72,90,53,277,1926,54,57
3481,6,1,1,172,6,6,38072,452,583,76,78,45,240,1306,36,54
3482,6,2,1,197,6,6,38782,508,644,77,87,44,260,1653,44,42
3483,6,3,1,191,6,6,39400,485,591,74,97,51,283,2061,55,54
3484,6,4,1,192,6,6,39922,481,572,76,84,44,235,1673,44,42
3485,6,0,1,255,4,4,32104,794,742,74,129,51,349,2621,87,56
3486,6,1,1,191,5,5,32573,586,504,75,91,48,213,1093,36,58
3487,6,2,1,242,4,4,33109,731,629,76,109,45,273,1813,59,60
3488,6,3,1,239,4,4,33860,706,591,77,100,42,234,1625,52,60
3489,6,4,1,285,6,6,34591,824,660,77,127,45,288,1881,58,51
3490,6,0,1,377,4,4,52342,720,796,76,171,45,342,2636,53,52
3491,6,1,1,374,4,4,53169,703,777,78,153,41,294,2669,53,53
3492,6,2,1,348,4,4,54268,641,691,76,157,45,296,2832,55,57
3493,6,3,1,397,6,6,55403,717,760,76,190,48,349,3641,69,57
3494,6,4,1,393,4,4,56908,691,727,76,189,48,339,3368,62,57
3495,6,0,1,141,4,4,41607,339,637,66,99,70,312,2311,57,61
3496,6,1,1,143,5,5,43385,330,603,61,101,71,289,2806,66,64
3497,6,2,1,169,6,6,45337,373,671,68,124,73,372,2371,53,54
3498,6,3,1,163,4,4,47473,343,573,65,122,75,339,2552,55,52
3499,6,4,1,142,6,6,50000,284,448,64,103,72,258,2609,53,61
3501,6,1,1,73,4,4,7011,1041,767,80,26,36,296,434,67,81
3502,6,2,1,76,5,5,7182,1058,769,78,27,36,278,356,54,56
3503,6,3,1,73,6,6,7323,997,737,77,31,42,327,425,63,77
3504,6,4,1,71,4,4,7387,961,708,78,28,39,291,401,59,57
3505,6,0,1,143,4,4,20527,697,722,76,67,47,321,1107,57,60
3506,6,1,1,137,6,6,20764,660,674,73,75,55,352,1442,73,48
3507,6,2,1,145,5,5,21051,689,692,75,70,48,321,1237,62,50
3508,6,3,1,131,5,5,21375,613,592,74,67,51,294,1009,50,51
3509,6,4,1,159,6,6,21942,725,691,74,80,50,353,1677,81,55
3510,6,0,1,208,6,6,40479,514,778,71,114,55,310,1977,50,62
3511,6,1,1,206,6,6,41101,501,752,71,116,56,313,2344,59,50
3512,6,2,1,195,6,6,41805,466,675,72,108,55,284,2091,52,56
3513,6,3,1,206,6,6,42454,485,706,75,100,48,249,2352,57,53
3514,6,4,1,253,4,4,43456,582,833,74,131,52,330,2388,57,53
3515,6,0,1,61,5,5,22824,267,455,68,39,64,182,908,41,51
3516,6,1,1,95,5,5,23791,399,669,71,61,64,271,1058,46,54
3517,6,2,1,94,6,6,25106,374,543,70,69,73,285,1140,46,45
3518,6,3,1,101,4,4,26594,380,590,71,63,62,253,1235,48,54
3519,6,4,1,89,5,5,28366,314,469,71,56,63,204,1113,40,61
3520,6,0,1,182,5,5,30035,606,755,76,79,43,267,1666,58,49
3521,6,1,1,205,5,5,30587,670,780,75,101,49,327,1471,50,52
3522,6,2,1,231,5,5,31110,742,895,77,101,44,321,1970,66,52
3523,6,3,1,194,4,4,31450,617,706,76,92,47,282,1597,53,50
3524,6,4,1,212,6,6,31932,664,786,78,88,42,265,1547,51,59
3525,6,0,1,216,6,6,40127,538,699,72,126,58,325,2634,68,54
3526,6,1,1,185,6,6,40084,462,591,72,102,55,257,2041,53,53
3527,6,2,1,222,4,4,40220,552,680,73,123,55,307,2074,54,58
3528,6,3,1,240,5,5,40218,597,685,73,137,57,336,2746,71,49
3529,6,4,1,227,6,6,40120,566,658,75,110,48,271,1794,47,49
3530,6,0,1,95,5,5,18895,503,716,74,51,54,284,1014,55,80
3531,6,1,1,93,5,5,18357,507,721,72,52,56,300,946,53,60
3532,6,2,1,90,4,4,18076,498,723,74,47,52,262,1048,60,60
3533,6,3,1,104,4,4,17875,582,870,78,43,41,228,866,50,56
3534,6,4,1,107,6,6,17874,599,759,73,60,56,309,1240,72,65
3535,6,0,1,340,5,5,60421,563,620,76,165,48,269,3082,53,54
3536,6,1,1,361,5,5,59555,606,680,77,169,47,273,3050,54,58
3537,6,2,1,396,5,5,59175,669,702,74,202,51,322,3728,66,57
3538,6,3,1,403,4,4,58933,684,704,76,187,46,292,3137,56,56
3539,6,4,1,407,5,5,58965,690,694,76,182,45,281,3367,60,51
3540,6,0,1,58,5,5,11132,521,651,70,36,62,301,618,57,56
3541,6,1,1,71,5,5,11303,628,809,73,39,55,315,766,70,56
3542,6,2,1,57,6,6,11487,496,619,69,35,61,269,648,59,49
3543,6,3,1,62,5,5,11641,533,608,72,37,60,278,553,50,54
3544,6,4,1,60,5,5,11769,510,611,76,27,45,206,477,42,44
3545,6,0,1,189,5,5,16308,1159,587,76,89,47,327,1068,75,46
3546,6,1,1,217,5,5,16518,1314,623,78,83,38,294,897,63,42
3547,6,2,1,194,5,5,16788,1156,532,79,72,37,253,812,57,54
3548,6,3,1,267,5,5,17059,1565,704,77,111,42,372,1215,84,51
3549,6,4,1,227,5,5,17441,1302,595,80,78,34,292,986,67,45
3550,6,0,1,268,6,6,33499,801,867,77,116,43,356,2320,73,56
3551,6,1,1,295,4,4,34157,864,897,78,132,45,386,2158,66,53
3552,6,2,1,287,5,5,34953,821,871,78,124,43,348,1991,60,44
3553,6,3,1,261,6,6,35736,730,778,78,108,41,294,1778,52,53
3554,6,4,1,329,6,6,36691,897,1004,78,136,41,357,2165,62,54
3555,6,0,1,40,6,6,7219,554,522,72,24,60,269,334,49,50
3556,6,1,1,57,5,5,7397,771,776,74,29,51,327,512,73,66
3557,6,2,1,52,5,5,7615,683,623,74,26,50,282,383,53,50
3560,6,0,1,180,6,6,31510,570,679,79,75,42,242,1227,41,51
3561,6,1,1,190,6,6,32009,594,677,79,71,37,220,1282,42,46
3562,6,2,1,196,5,5,32393,605,643,73,104,53,313,1954,63,45
3563,6,3,1,184,6,6,32834,560,596,76,90,49,266,1627,52,53
3564,6,4,1,217,4,4,33503,648,682,77,91,42,257,1590,50,57
3565,6,0,1,330,5,5,29343,1125,814,78,139,42,380,1999,74,48
3566,6,1,1,342,5,5,29536,1158,797,78,129,38,353,1884,70,50
3567,6,2,1,340,4,4,29815,1140,775,79,130,38,355,2127,78,51
3568,6,3,1,320,6,6,30007,1066,704,78,134,42,347,2033,74,48
3569,6,4,1,328,5,5,30354,1081,699,79,133,40,339,2014,73,45
3570,6,0,1,143,5,5,43837,326,518,76,61,43,136,1021,24,61
3571,6,1,1,156,5,5,44557,350,510,78,67,43,146,1140,26,52
3572,6,2,1,149,4,4,45192,330,445,75,73,49,153,1373,32,42
3573,6,3,1,174,5,5,45669,381,465,74,98,56,201,1745,40,50
3574,6,4,1,160,4,4,46007,348,418,76,76,48,155,1385,32,43
3575,6,0,1,142,6,6,34003,418,641,79,58,41,212,1172,36,57
3576,6,1,1,191,4,4,36337,526,784,79,76,40,250,1513,43,47
3577,6,2,1,175,5,5,38540,454,687,78,68,39,217,1301,35,54
3578,6,3,1,158,5,5,40701,388,582,75,75,48,228,1177,30,48
3579,6,4,1,167,6,6,42854,390,604,79,72,43,204,1430,34,51
3580,6,0,1,97,5,5,18990,511,634,73,59,61,316,1200,66,64
3581,6,1,1,106,6,6,19083,556,733,77,47,44,238,960,52,57
3582,6,2,1,100,5,5,19278,519,659,72,53,53,269,1019,55,55
3583,6,3,1,111,5,5,19443,571,681,71,65,59,323,1190,64,43
3584,6,4,1,107,5,5,19705,543,618,74,56,52,275,1079,58,46
3585,6,0,1,87,5,5,17637,493,700,66,62,71,380,1462,85,64
3586,6,1,1,104,5,5,17828,583,928,69,65,62,383,1240,71,55
3587,6,2,1,81,5,5,18066,448,726,71,46,57,267,895,51,65
3588,6,3,1,108,4,4,18378,588,781,67,79,73,452,1608,90,57
3589,6,4,1,95,4,4,18644,510,647,67,68,72,373,1364,76,63
3590,6,0,1,99,6,6,17052,581,884,68,58,59,368,1399,84,57
3591,6,1,1,95,6,6,16216,586,981,66,67,70,448,1580,100,69
3592,6,2,1,104,6,6,15994,650,1030,69,69,66,468,1236,79,61
3593,6,3,1,114,5,5,15728,725,1074,70,82,72,602,1474,96,55
3594,6,4,1,93,5,5,15637,595,809,66,64,69,448,1341,89,58
3595,6,0,1,86,6,6,9466,908,763,74,45,52,399,786,89,58
3596,6,1,1,83,5,5,9065,916,834,75,40,48,401,765,90,68
3597,6,2,1,83,4,4,8839,939,798,75,41,49,387,691,84,61
3598,6,3,1,88,5,5,8738,1007,792,76,39,44,346,427,52,51
3599,6,4,1,101,6,6,8665,1166,898,74,52,52,471,774,96,52
3600,6,0,1,165,6,6,25750,641,483,83,44,27,166,829,35,57
3601,6,1,1,164,4,4,26610,616,442,84,37,23,132,552,22,49
3602,6,2,1,177,5,5,27393,646,472,82,63,36,212,1049,42,54
3603,6,3,1,214,4,4,27890,767,557,82,59,28,202,1084,42,58
3604,6,4,1,191,5,5,28356,674,492,81,60,31,201,1266,49,63
3605,6,0,1,367,5,5,39024,940,630,81,120,33,256,1821,51,50
3606,6,1,1,390,6,6,40058,974,624,82,110,28,229,1594,44,48
3607,6,2,1,357,5,5,41230,866,555,81,112,31,222,1690,45,50
3608,6,3,1,375,5,5,42496,882,553,81,118,32,224,1636,43,46
3609,6,4,1,374,5,5,43833,853,511,82,108,29,182,1144,29,44
3610,6,0,1,212,4,4,27937,759,592,81,81,38,248,1584,61,56
3611,6,1,1,242,6,6,28335,854,634,80,94,39,276,1425,54,37
3612,6,2,1,198,5,5,28969,684,495,80,63,32,174,979,37,44
3613,6,3,1,215,5,5,29541,728,526,81,66,31,180,1225,45,52
3614,6,4,1,277,5,5,30045,922,638,80,100,36,249,1311,48,39
3615,6,0,1,166,4,4,20127,825,543,81,48,29,172,649,35,52
3616,6,1,1,163,4,4,20555,793,507,80,51,31,189,758,41,57
3617,6,2,1,187,5,5,21109,886,551,80,61,33,210,789,41,44
3618,6,3,1,180,6,6,21683,830,525,81,57,32,214,968,50,60
3619,6,4,1,223,5,5,22107,1009,575,82,63,28,182,611,31,49
3620,6,0,1,162,5,5,24586,659,548,78,69,43,215,947,41,49
3621,6,1,1,176,5,5,24926,706,574,78,68,39,213,1161,50,48
3622,6,2,1,196,4,4,25403,772,642,78,72,37,255,1450,62,57
3623,6,3,1,160,6,6,25870,618,469,77,66,41,193,960,40,46
3624,6,4,1,203,5,5,26634,762,549,77,84,41,238,1292,53,52
