,Areas,Area Code,Regions,Year Code,year,Gender Code,Gender,Fatalities,Percentage:Hypertension,Percentage:Diabetes,Inhabitants,Fatalities_per_100000,Age_std_mortality,MeanAge,PrematureFatalities,PrematureFatalitiesPercent,PrematureFatalityASR,PotentialLifeLost,PLLper1000,PotentialAvoidableFatalities,PAFpercent
1981,Statistical Area Level 4 (SA4),7,South East,1,2016,0,Females,126.0,4.034,4.033854776121514,18433.0,683.6,502.1,80.0,53.0,42.1,188.3,648.0,37.8,20,37.7
1982,Statistical Area Level 4 (SA4),7,South East,2,2017,0,Females,123.0,5.727,5.727137488887367,18616.0,660.7,480.1,81.0,39.0,31.7,142.5,600.0,34.8,22,56.4
1983,Statistical Area Level 4 (SA4),7,South East,3,2018,0,Females,120.0,4.952,4.952439162728512,18925.0,634.1,430.4,76.5,53.0,44.2,179.1,667.0,38.1,24,45.3
1984,Statistical Area Level 4 (SA4),7,South East,4,2019,0,Females,146.0,4.233,4.2331587647075,19319.0,755.7,528.5,78.5,62.0,42.5,223.7,948.0,53.2,28,45.2
1985,Statistical Area Level 4 (SA4),7,West and North West,0,2015,0,Females,551.0,5.257,5.256935553523126,56609.0,973.3,600.4,82.0,173.0,31.4,232.8,2418.0,47.0,85,49.1
1986,Statistical Area Level 4 (SA4),7,West and North West,1,2016,0,Females,518.0,5.221,5.2208168030797095,56621.0,914.9,553.3,83.0,148.0,28.6,200.4,1982.0,38.6,75,50.7
1987,Statistical Area Level 4 (SA4),7,West and North West,2,2017,0,Females,519.0,5.089,5.089332450881537,56782.0,914.0,531.6,83.0,143.0,27.6,180.6,1744.0,33.9,66,46.2
1988,Statistical Area Level 4 (SA4),7,West and North West,3,2018,0,Females,461.0,5.853,5.852958618519967,57111.0,807.2,465.5,83.0,127.0,27.5,160.3,1548.0,30.0,65,51.2
1989,Statistical Area Level 4 (SA4),7,West and North West,4,2019,0,Females,502.0,4.451,4.451115429192807,57546.0,872.3,509.3,82.0,153.0,30.5,197.6,2040.0,39.3,68,44.4
1990,Statistical Area Level 4 (SA4),7,Darwin,0,2015,0,Females,209.0,5.46,5.460276298921288,68180.0,306.5,536.6,69.0,127.0,60.8,216.1,2734.0,41.0,63,49.6
1991,Statistical Area Level 4 (SA4),7,Darwin,1,2016,0,Females,190.0,5.824,5.824490394288491,69443.0,273.6,494.1,72.0,105.0,55.3,187.4,2039.0,30.1,54,51.4
1992,Statistical Area Level 4 (SA4),7,Darwin,2,2017,0,Females,207.0,4.713,4.713178321128394,70436.0,293.9,509.4,72.0,113.0,54.6,185.6,2622.0,38.2,61,54.0
1993,Statistical Area Level 4 (SA4),7,Darwin,3,2018,0,Females,199.0,5.189,5.189412465043731,70440.0,282.5,484.9,75.0,98.0,49.2,158.3,1870.0,27.3,51,52.0
1994,Statistical Area Level 4 (SA4),7,Darwin,4,2019,0,Females,212.0,4.708,4.708482717180516,70141.0,302.2,476.8,71.0,115.0,54.2,179.1,2652.0,38.9,63,54.8
1995,Statistical Area Level 4 (SA4),7,Northern Territory - Outback,0,2015,0,Females,249.0,4.585,4.584617546138699,48598.0,512.4,875.6,60.0,185.0,74.3,467.1,4838.0,101.3,114,61.6
1996,Statistical Area Level 4 (SA4),7,Northern Territory - Outback,1,2016,0,Females,233.0,4.97,4.9700335551159105,48559.0,479.8,857.5,64.0,168.0,72.1,445.1,4040.0,84.7,95,56.5
1997,Statistical Area Level 4 (SA4),7,Northern Territory - Outback,2,2017,0,Females,243.0,4.603,4.602641245903666,48526.0,500.8,763.2,60.0,190.0,78.2,455.6,4660.0,97.9,112,58.9
1998,Statistical Area Level 4 (SA4),7,Northern Territory - Outback,3,2018,0,Females,255.0,4.759,4.7588559953368454,48630.0,524.4,858.9,63.0,185.0,72.5,460.8,4270.0,89.6,118,63.8
1999,Statistical Area Level 4 (SA4),7,Northern Territory - Outback,4,2019,0,Females,210.0,4.331,4.331423170127554,48718.0,431.1,688.7,62.5,151.0,71.9,368.8,3766.0,78.9,93,61.6
2000,Statistical Area Level 4 (SA4),7,Australian Capital Territory,0,2015,0,Females,904.0,4.716,4.715853011592632,199576.0,453.0,407.7,84.0,266.0,29.4,136.3,4503.0,23.9,119,44.7
2001,Statistical Area Level 4 (SA4),7,Australian Capital Territory,1,2016,0,Females,910.0,4.168,4.168441062657248,203324.0,447.6,401.4,84.0,251.0,27.6,126.0,4420.0,23.0,123,49.0
2002,Statistical Area Level 4 (SA4),7,Australian Capital Territory,2,2017,0,Females,1128.0,5.504,5.503763398661396,207970.0,542.4,478.1,85.0,292.0,25.9,141.6,4816.0,24.6,134,45.9
2003,Statistical Area Level 4 (SA4),7,Australian Capital Territory,3,2018,0,Females,1049.0,5.366,5.366330996478383,212415.0,493.8,435.8,84.0,295.0,28.1,139.7,5392.0,26.9,153,51.9
2004,Statistical Area Level 4 (SA4),7,Australian Capital Territory,4,2019,0,Females,1043.0,4.031,4.030507651929059,215733.0,483.5,417.2,85.0,262.0,25.1,119.2,4089.0,20.2,115,43.9
2015,Statistical Area Level 4 (SA4),7,Australia (total),0,2015,0,Females,77722.0,4.202,4.201577115232549,11988343.0,648.3,464.3,84.0,20456.0,26.3,160.3,335009.0,30.2,"10,007",48.9
2016,Statistical Area Level 4 (SA4),7,Australia (total),1,2016,0,Females,76637.0,5.922,5.922106670174269,12187868.0,628.8,447.8,84.0,20368.0,26.6,155.4,330634.0,29.3,"9,883",48.5
2017,Statistical Area Level 4 (SA4),7,Australia (total),2,2017,0,Females,78051.0,5.627,5.626721081374379,12398090.0,629.5,445.1,85.0,20698.0,26.5,153.3,330401.0,28.8,"10,079",48.2
2018,Statistical Area Level 4 (SA4),7,Australia (total),3,2018,0,Females,76173.0,4.023,4.023279734362376,12591646.0,604.9,425.9,84.0,20770.0,27.3,149.7,325077.0,27.9,"9,909",47.2
2019,Statistical Area Level 4 (SA4),7,Australia (total),4,2019,0,Females,80955.0,4.349,4.349085570063284,12784216.0,633.2,441.5,84.0,22007.0,27.2,155.3,344865.0,29.2,"10,125",47.0
2020,Statistical Area Level 4 (SA4),7,Capital Region,0,2015,2,Persons,1984.0,4.05,4.049551428665909,221959.0,893.9,622.8,80.0,721.0,36.3,256.6,10681.0,52.3,362,50.2
2021,Statistical Area Level 4 (SA4),7,Capital Region,1,2016,2,Persons,1920.0,4.833,4.832679081655051,223815.0,857.9,594.3,80.0,695.0,36.2,242.9,10361.0,50.3,351,50.5
2022,Statistical Area Level 4 (SA4),7,Capital Region,2,2017,2,Persons,1992.0,4.789,4.7891047486302565,225797.0,882.2,598.9,81.0,673.0,33.8,229.9,10286.0,49.6,347,51.6
2023,Statistical Area Level 4 (SA4),7,Capital Region,3,2018,2,Persons,1920.0,4.018,4.018064064649777,227735.0,843.1,561.8,80.0,669.0,34.8,216.5,9171.0,44.0,346,51.7
2024,Statistical Area Level 4 (SA4),7,Capital Region,4,2019,2,Persons,1972.0,4.413,4.413441367238821,229910.0,857.7,564.8,80.0,709.0,36.0,228.9,9829.0,46.8,332,46.8
2025,Statistical Area Level 4 (SA4),7,Central Coast,0,2015,2,Persons,3237.0,4.5,4.499895621210071,333264.0,971.3,595.4,82.0,1026.0,31.7,255.0,14663.0,48.5,495,48.2
2026,Statistical Area Level 4 (SA4),7,Central Coast,1,2016,2,Persons,3301.0,5.756,5.755678157805907,336611.0,980.7,593.0,83.0,971.0,29.4,236.5,13937.0,45.7,474,48.8
2027,Statistical Area Level 4 (SA4),7,Central Coast,2,2017,2,Persons,3229.0,5.876,5.875543111431097,339442.0,951.3,577.9,82.0,979.0,30.3,237.9,14025.0,45.6,475,48.5
2028,Statistical Area Level 4 (SA4),7,Central Coast,3,2018,2,Persons,3324.0,4.654,4.6540879871343614,341741.0,972.7,590.1,82.0,1032.0,31.0,245.6,14641.0,47.4,514,49.8
2029,Statistical Area Level 4 (SA4),7,Central Coast,4,2019,2,Persons,3354.0,4.405,4.404975486000657,344016.0,975.0,588.8,82.0,1039.0,31.0,243.7,14688.0,47.3,491,47.3
2030,Statistical Area Level 4 (SA4),7,Central West,0,2015,2,Persons,1850.0,5.769,5.768737604355742,208900.0,885.6,627.6,81.0,658.0,35.6,269.9,9618.0,50.1,357,54.3
2031,Statistical Area Level 4 (SA4),7,Central West,1,2016,2,Persons,1963.0,5.538,5.537511120828281,210159.0,934.1,656.2,80.0,693.0,35.3,278.4,10500.0,54.4,360,51.9
2032,Statistical Area Level 4 (SA4),7,Central West,2,2017,2,Persons,1861.0,5.818,5.817583770009833,211356.0,880.5,607.9,81.0,603.0,32.4,242.5,9626.0,49.7,323,53.6
2033,Statistical Area Level 4 (SA4),7,Central West,3,2018,2,Persons,1893.0,5.827,5.826572879835559,212412.0,891.2,614.9,79.0,704.0,37.2,278.5,10510.0,54.1,334,47.4
2034,Statistical Area Level 4 (SA4),7,Central West,4,2019,2,Persons,2026.0,4.216,4.215645359466918,213384.0,949.5,629.1,81.0,685.0,33.8,260.7,9494.0,48.7,346,50.5
2035,Statistical Area Level 4 (SA4),7,Coffs Harbour - Grafton,0,2015,2,Persons,1289.0,5.695,5.695362572155828,138225.0,932.5,567.2,81.0,449.0,34.8,246.4,6269.0,50.1,208,46.3
2036,Statistical Area Level 4 (SA4),7,Coffs Harbour - Grafton,1,2016,2,Persons,1370.0,4.34,4.339668127100186,139246.0,983.9,583.2,81.0,430.0,31.4,233.5,6248.0,49.7,208,48.4
2037,Statistical Area Level 4 (SA4),7,Coffs Harbour - Grafton,2,2017,2,Persons,1350.0,4.693,4.69299619234548,140150.0,963.3,562.6,82.0,405.0,30.0,219.7,5966.0,47.2,202,49.9
2038,Statistical Area Level 4 (SA4),7,Coffs Harbour - Grafton,3,2018,2,Persons,1313.0,5.869,5.869205099292332,141082.0,930.7,540.6,82.0,419.0,31.9,222.7,5912.0,46.6,214,51.1
2039,Statistical Area Level 4 (SA4),7,Coffs Harbour - Grafton,4,2019,2,Persons,1382.0,5.668,5.668168956050232,141986.0,973.3,566.7,81.0,469.0,33.9,251.4,7036.0,55.2,230,49.0
2040,Statistical Area Level 4 (SA4),7,Far West and Orana,0,2015,2,Persons,1064.0,4.319,4.319274524151519,116966.0,909.7,666.5,80.0,404.0,38.0,306.9,6403.0,59.5,231,57.2
2041,Statistical Area Level 4 (SA4),7,Far West and Orana,1,2016,2,Persons,1168.0,4.607,4.6069236618543465,116775.0,1000.2,730.5,79.0,476.0,40.8,354.0,7605.0,70.7,237,49.8
2042,Statistical Area Level 4 (SA4),7,Far West and Orana,2,2017,2,Persons,1118.0,4.582,4.581693468047504,116761.0,957.5,687.1,79.0,441.0,39.4,322.0,6403.0,59.7,231,52.4
2043,Statistical Area Level 4 (SA4),7,Far West and Orana,3,2018,2,Persons,1104.0,5.743,5.7432352433888765,117180.0,942.1,669.6,79.0,435.0,39.4,317.6,6748.0,62.7,236,54.3
2044,Statistical Area Level 4 (SA4),7,Far West and Orana,4,2019,2,Persons,1170.0,4.843,4.842973284324494,116962.0,1000.3,703.7,79.0,445.0,38.0,324.8,7375.0,68.8,245,55.1
2045,Statistical Area Level 4 (SA4),7,Hunter Valley exc Newcastle,0,2015,2,Persons,2042.0,4.94,4.940115373995907,265899.0,768.0,614.2,80.0,728.0,35.7,239.9,12342.0,49.8,381,52.3
2046,Statistical Area Level 4 (SA4),7,Hunter Valley exc Newcastle,1,2016,2,Persons,1936.0,5.391,5.390573576926213,269161.0,719.3,578.1,80.0,727.0,37.6,237.5,11651.0,46.5,373,51.3
2047,Statistical Area Level 4 (SA4),7,Hunter Valley exc Newcastle,2,2017,2,Persons,1984.0,5.545,5.545445467281073,272630.0,727.7,568.6,80.0,710.0,35.8,220.8,10615.0,41.9,386,54.4
2048,Statistical Area Level 4 (SA4),7,Hunter Valley exc Newcastle,3,2018,2,Persons,2065.0,5.556,5.555663757356934,276807.0,746.0,578.3,80.0,785.0,38.0,241.4,12615.0,49.1,411,52.4
2049,Statistical Area Level 4 (SA4),7,Hunter Valley exc Newcastle,4,2019,2,Persons,2235.0,5.455,5.4547964090320935,280588.0,796.5,605.7,80.0,815.0,36.5,243.6,12873.0,49.5,380,46.6
2050,Statistical Area Level 4 (SA4),7,Illawarra,0,2015,2,Persons,2344.0,5.266,5.265696145493785,299624.0,782.3,563.6,81.0,762.0,32.5,230.6,12085.0,43.8,371,48.7
2051,Statistical Area Level 4 (SA4),7,Illawarra,1,2016,2,Persons,2397.0,4.176,4.175791203217768,302840.0,791.5,563.1,82.0,763.0,31.8,224.9,11091.0,39.8,378,49.5
2052,Statistical Area Level 4 (SA4),7,Illawarra,2,2017,2,Persons,2371.0,5.306,5.30636651625292,306795.0,772.8,540.9,82.0,725.0,30.6,209.6,10810.0,38.3,343,47.3
2053,Statistical Area Level 4 (SA4),7,Illawarra,3,2018,2,Persons,2388.0,4.612,4.611890556952695,310880.0,768.1,534.2,82.0,687.0,28.8,196.8,10439.0,36.5,329,47.9
2054,Statistical Area Level 4 (SA4),7,Illawarra,4,2019,2,Persons,2433.0,4.578,4.578450079921784,314618.0,773.3,533.0,83.0,718.0,29.5,203.0,11072.0,38.3,349,48.6
2055,Statistical Area Level 4 (SA4),7,Mid North Coast,0,2015,2,Persons,2552.0,5.315,5.315466063911636,214272.0,1191.0,614.8,82.0,768.0,30.1,262.3,11446.0,60.5,390,50.8
2056,Statistical Area Level 4 (SA4),7,Mid North Coast,1,2016,2,Persons,2641.0,4.76,4.760192051001334,216100.0,1222.1,625.8,82.0,813.0,30.8,271.2,11404.0,59.9,393,48.3
2057,Statistical Area Level 4 (SA4),7,Mid North Coast,2,2017,2,Persons,2394.0,5.704,5.703858515950905,218360.0,1096.4,543.6,82.0,753.0,31.5,234.3,9793.0,51.0,383,50.9
2058,Statistical Area Level 4 (SA4),7,Mid North Coast,3,2018,2,Persons,2619.0,4.101,4.10056115959909,220519.0,1187.7,590.5,82.0,810.0,30.9,259.3,11399.0,58.9,409,50.5
2059,Statistical Area Level 4 (SA4),7,Mid North Coast,4,2019,2,Persons,2704.0,5.381,5.381191432476154,222700.0,1214.2,591.4,82.0,805.0,29.8,247.2,10374.0,53.3,382,47.5
2060,Statistical Area Level 4 (SA4),7,Murray,0,2015,2,Persons,1120.0,4.951,4.950943539890434,117061.0,956.8,617.6,81.0,363.0,32.4,250.9,5324.0,50.0,176,48.5
2061,Statistical Area Level 4 (SA4),7,Murray,1,2016,2,Persons,1114.0,5.238,5.2378439026466,117943.0,944.5,612.5,81.0,380.0,34.1,269.2,6241.0,58.2,186,48.9
2062,Statistical Area Level 4 (SA4),7,Murray,2,2017,2,Persons,1106.0,4.545,4.544552738994285,118977.0,929.6,584.3,81.0,401.0,36.3,265.3,5771.0,53.5,201,49.9
2063,Statistical Area Level 4 (SA4),7,Murray,3,2018,2,Persons,1078.0,5.949,5.949140797977204,120037.0,898.1,553.6,81.0,336.0,31.2,218.3,4672.0,43.0,183,54.0
2064,Statistical Area Level 4 (SA4),7,Murray,4,2019,2,Persons,1270.0,5.668,5.668385711981599,120906.0,1050.4,656.3,81.0,421.0,33.1,281.1,6586.0,60.3,222,53.4
2065,Statistical Area Level 4 (SA4),7,New England and North West,0,2015,2,Persons,1643.0,4.349,4.349394500892374,185063.0,887.8,640.8,80.0,600.0,36.5,279.1,9842.0,57.8,337,56.2
2066,Statistical Area Level 4 (SA4),7,New England and North West,1,2016,2,Persons,1673.0,4.588,4.588250524674504,185647.0,901.2,644.0,80.0,570.0,34.1,260.8,9027.0,52.9,312,54.7
2067,Statistical Area Level 4 (SA4),7,New England and North West,2,2017,2,Persons,1691.0,4.092,4.092054125659132,186305.0,907.7,635.5,81.0,584.0,34.5,265.4,9878.0,57.9,305,52.2
2068,Statistical Area Level 4 (SA4),7,New England and North West,3,2018,2,Persons,1612.0,5.418,5.418482934211536,186661.0,863.6,597.2,80.0,550.0,34.1,244.9,8218.0,48.1,286,52.0
2069,Statistical Area Level 4 (SA4),7,New England and North West,4,2019,2,Persons,1701.0,4.823,4.822732191494855,187071.0,909.3,619.9,80.0,608.0,35.7,270.4,9822.0,57.5,299,49.2
2070,Statistical Area Level 4 (SA4),7,Newcastle and Lake Macquarie,0,2015,2,Persons,3422.0,4.425,4.424798540717079,367105.0,932.2,634.5,82.0,1078.0,31.5,259.5,16216.0,48.1,537,49.8
2071,Statistical Area Level 4 (SA4),7,Newcastle and Lake Macquarie,1,2016,2,Persons,3292.0,5.027,5.026990657083251,369488.0,891.0,600.3,82.0,985.0,29.9,232.2,14825.0,43.7,498,50.6
2072,Statistical Area Level 4 (SA4),7,Newcastle and Lake Macquarie,2,2017,2,Persons,3309.0,4.605,4.604758669229334,372516.0,888.3,598.1,82.0,1022.0,30.9,238.3,15267.0,44.7,501,49.0
2073,Statistical Area Level 4 (SA4),7,Newcastle and Lake Macquarie,3,2018,2,Persons,3356.0,5.389,5.38889277121851,375540.0,893.6,601.9,82.0,1060.0,31.6,241.0,15936.0,46.3,497,46.9
2074,Statistical Area Level 4 (SA4),7,Newcastle and Lake Macquarie,4,2019,2,Persons,3431.0,5.715,5.715096370365757,378683.0,906.0,610.2,82.0,1098.0,32.0,250.1,17087.0,49.3,533,48.5
2075,Statistical Area Level 4 (SA4),7,Richmond - Tweed,0,2015,2,Persons,2368.0,5.67,5.670399099811583,243957.0,970.7,568.3,82.0,745.0,31.5,240.2,11247.0,51.1,373,50.1
2076,Statistical Area Level 4 (SA4),7,Richmond - Tweed,1,2016,2,Persons,2478.0,5.402,5.402232425578682,246626.0,1004.8,579.3,83.0,786.0,31.7,248.6,11812.0,53.1,399,50.8
2077,Statistical Area Level 4 (SA4),7,Richmond - Tweed,2,2017,2,Persons,2418.0,5.313,5.312897435575555,248630.0,972.5,554.6,82.0,781.0,32.3,237.6,11272.0,50.4,344,44.0
2078,Statistical Area Level 4 (SA4),7,Richmond - Tweed,3,2018,2,Persons,2470.0,5.693,5.693159608312264,250761.0,985.0,557.9,82.0,786.0,31.8,233.6,11105.0,49.2,364,46.3
2079,Statistical Area Level 4 (SA4),7,Richmond - Tweed,4,2019,2,Persons,2514.0,4.666,4.66640430061996,252650.0,995.1,557.6,83.0,780.0,31.0,234.1,11413.0,50.3,366,46.9
2080,Statistical Area Level 4 (SA4),7,Riverina,0,2015,2,Persons,1292.0,5.663,5.66340811327531,158423.0,815.5,593.5,80.0,442.0,34.2,253.6,7157.0,49.0,223,50.5
2081,Statistical Area Level 4 (SA4),7,Riverina,1,2016,2,Persons,1398.0,4.937,4.937204032474877,159366.0,877.2,625.6,81.0,480.0,34.3,269.4,7871.0,53.7,228,47.5
2082,Statistical Area Level 4 (SA4),7,Riverina,2,2017,2,Persons,1250.0,5.129,5.1285404299714425,160156.0,780.5,550.6,82.0,407.0,32.6,228.1,6173.0,41.9,222,54.4
2083,Statistical Area Level 4 (SA4),7,Riverina,3,2018,2,Persons,1353.0,5.576,5.5757887407938975,160914.0,840.8,593.9,81.0,464.0,34.3,254.4,7121.0,48.2,223,48.1
2084,Statistical Area Level 4 (SA4),7,Riverina,4,2019,2,Persons,1401.0,4.619,4.61929709319029,161595.0,867.0,590.6,82.0,465.0,33.2,246.4,6893.0,46.5,231,49.8
2085,Statistical Area Level 4 (SA4),7,Southern Highlands and Shoalhaven,0,2015,2,Persons,1600.0,5.775,5.7745008292939515,148525.0,1077.3,598.2,82.0,487.0,30.4,234.3,6535.0,49.3,240,49.3
2086,Statistical Area Level 4 (SA4),7,Southern Highlands and Shoalhaven,1,2016,2,Persons,1665.0,4.639,4.639426092182651,150769.0,1104.3,606.6,82.0,475.0,28.5,226.3,6632.0,49.3,237,49.9
2087,Statistical Area Level 4 (SA4),7,Southern Highlands and Shoalhaven,2,2017,2,Persons,1588.0,5.583,5.582685706203408,152584.0,1040.7,562.3,82.0,505.0,31.8,227.6,6357.0,46.8,243,48.1
2088,Statistical Area Level 4 (SA4),7,Southern Highlands and Shoalhaven,3,2018,2,Persons,1569.0,4.597,4.597049995866347,154542.0,1015.3,545.6,82.0,492.0,31.4,223.3,6570.0,47.9,226,45.9
2089,Statistical Area Level 4 (SA4),7,Southern Highlands and Shoalhaven,4,2019,2,Persons,1696.0,4.255,4.254977741953447,156601.0,1083.0,580.9,82.0,521.0,30.7,237.0,7044.0,50.9,243,46.6
2090,Statistical Area Level 4 (SA4),7,Sydney - Baulkham Hills and Hawkesbury,0,2015,2,Persons,1163.0,5.794,5.7940680898254335,231186.0,503.1,469.8,84.0,342.0,29.4,138.7,5496.0,25.1,177,51.8
2091,Statistical Area Level 4 (SA4),7,Sydney - Baulkham Hills and Hawkesbury,1,2016,2,Persons,1162.0,5.675,5.675261956311488,235609.0,493.2,447.5,83.0,348.0,29.9,133.8,5255.0,23.6,159,45.7
2092,Statistical Area Level 4 (SA4),7,Sydney - Baulkham Hills and Hawkesbury,2,2017,2,Persons,1210.0,5.967,5.967339662327769,241029.0,502.0,452.5,85.0,327.0,27.0,125.9,4840.0,21.3,148,45.3
2093,Statistical Area Level 4 (SA4),7,Sydney - Baulkham Hills and Hawkesbury,3,2018,2,Persons,1251.0,4.582,4.581744993335037,245445.0,509.7,459.4,84.0,321.0,25.7,118.0,4634.0,20.0,138,43.0
2094,Statistical Area Level 4 (SA4),7,Sydney - Baulkham Hills and Hawkesbury,4,2019,2,Persons,1279.0,4.82,4.820021435651156,251477.0,508.6,453.9,83.0,350.0,27.4,127.5,5402.0,22.8,156,44.6
2095,Statistical Area Level 4 (SA4),7,Sydney - Blacktown,0,2015,2,Persons,1580.0,4.794,4.794330065638161,342178.0,461.7,588.2,76.0,756.0,47.8,249.3,13746.0,41.7,395,52.2
2096,Statistical Area Level 4 (SA4),7,Sydney - Blacktown,1,2016,2,Persons,1587.0,5.017,5.017461556501049,350795.0,452.4,579.5,76.0,753.0,47.4,243.9,12742.0,37.7,409,54.3
2097,Statistical Area Level 4 (SA4),7,Sydney - Blacktown,2,2017,2,Persons,1672.0,4.146,4.146483485987053,360420.0,463.9,587.3,77.0,748.0,44.7,231.3,13356.0,38.5,374,49.9
2098,Statistical Area Level 4 (SA4),7,Sydney - Blacktown,3,2018,2,Persons,1606.0,4.807,4.806799084682893,368877.0,435.4,542.3,77.0,708.0,44.1,210.2,12845.0,36.2,343,48.4
2099,Statistical Area Level 4 (SA4),7,Sydney - Blacktown,4,2019,2,Persons,1701.0,4.819,4.818591929034419,377280.0,450.9,552.7,77.0,754.0,44.3,220.7,13019.0,36.0,360,47.8
2100,Statistical Area Level 4 (SA4),7,Sydney - City and Inner South,0,2015,2,Persons,1286.0,4.828,4.827938057879936,322842.0,398.3,514.3,76.0,600.0,46.7,229.2,11213.0,36.1,322,53.7
2101,Statistical Area Level 4 (SA4),7,Sydney - City and Inner South,1,2016,2,Persons,1242.0,5.348,5.348061446400773,335285.0,370.4,482.3,77.0,557.0,44.8,205.0,10088.0,31.3,282,50.6
2102,Statistical Area Level 4 (SA4),7,Sydney - City and Inner South,2,2017,2,Persons,1256.0,4.383,4.38322653047717,349046.0,359.8,466.8,78.0,538.0,42.8,191.5,9847.0,29.4,276,51.3
2103,Statistical Area Level 4 (SA4),7,Sydney - City and Inner South,3,2018,2,Persons,1257.0,5.213,5.213236790408187,359069.0,350.1,450.8,77.0,564.0,44.9,198.0,10521.0,30.5,287,50.9
2104,Statistical Area Level 4 (SA4),7,Sydney - City and Inner South,4,2019,2,Persons,1271.0,5.201,5.200776224763444,368263.0,345.1,426.2,76.0,602.0,47.4,200.6,10706.0,30.3,309,51.3
2105,Statistical Area Level 4 (SA4),7,Sydney - Eastern Suburbs,0,2015,2,Persons,1657.0,4.332,4.331981710469962,281419.0,588.8,474.3,84.0,449.0,27.1,167.3,7140.0,27.1,226,50.3
2106,Statistical Area Level 4 (SA4),7,Sydney - Eastern Suburbs,1,2016,2,Persons,1509.0,5.512,5.5124909845196255,284380.0,530.6,422.6,85.0,383.0,25.4,139.8,6262.0,23.6,186,48.6
2107,Statistical Area Level 4 (SA4),7,Sydney - Eastern Suburbs,2,2017,2,Persons,1501.0,4.708,4.7077876674886205,289775.0,518.0,414.7,84.0,426.0,28.4,152.6,6772.0,25.0,189,44.4
2108,Statistical Area Level 4 (SA4),7,Sydney - Eastern Suburbs,3,2018,2,Persons,1576.0,4.667,4.666665297690306,292796.0,538.3,429.3,84.0,434.0,27.5,152.0,6882.0,25.2,206,47.5
2109,Statistical Area Level 4 (SA4),7,Sydney - Eastern Suburbs,4,2019,2,Persons,1645.0,5.615,5.614738023125572,295054.0,557.5,442.8,84.0,446.0,27.1,155.4,6970.0,25.3,217,48.7
2110,Statistical Area Level 4 (SA4),7,Sydney - Inner South West,0,2015,2,Persons,3753.0,5.037,5.037393445275524,588748.0,637.5,505.6,83.0,1081.0,28.8,188.7,17787.0,32.4,513,47.5
2111,Statistical Area Level 4 (SA4),7,Sydney - Inner South West,1,2016,2,Persons,3653.0,4.952,4.952264457001493,598303.0,610.6,484.7,83.0,1115.0,30.5,190.0,18167.0,32.6,549,49.2
2112,Statistical Area Level 4 (SA4),7,Sydney - Inner South West,2,2017,2,Persons,3609.0,4.309,4.30860572590479,611111.0,590.6,467.3,83.0,1046.0,29.0,174.7,17751.0,31.2,481,46.0
2113,Statistical Area Level 4 (SA4),7,Sydney - Inner South West,3,2018,2,Persons,3675.0,5.798,5.797947739154778,619513.0,593.2,468.1,83.0,1092.0,29.7,178.5,17593.0,30.5,516,47.3
2114,Statistical Area Level 4 (SA4),7,Sydney - Inner South West,4,2019,2,Persons,3746.0,5.37,5.370172259123889,626859.0,597.6,472.7,82.0,1146.0,30.6,184.3,19475.0,33.4,543,47.4
2115,Statistical Area Level 4 (SA4),7,Sydney - Inner West,0,2015,2,Persons,1686.0,5.278,5.2779239967369005,302256.0,557.8,476.5,84.0,471.0,27.9,162.9,7433.0,26.2,221,46.9
2116,Statistical Area Level 4 (SA4),7,Sydney - Inner West,1,2016,2,Persons,1612.0,5.426,5.425972153907686,307741.0,523.8,446.4,83.0,454.0,28.2,153.5,7245.0,25.1,205,45.2
2117,Statistical Area Level 4 (SA4),7,Sydney - Inner West,2,2017,2,Persons,1606.0,5.108,5.108442634626385,314231.0,511.1,433.7,83.0,464.0,28.9,151.9,7751.0,26.3,215,46.2
2118,Statistical Area Level 4 (SA4),7,Sydney - Inner West,3,2018,2,Persons,1606.0,4.479,4.478614632690309,318888.0,503.6,419.9,84.0,473.0,29.5,149.6,7941.0,26.5,232,49.0
2119,Statistical Area Level 4 (SA4),7,Sydney - Inner West,4,2019,2,Persons,1810.0,4.679,4.679464485415692,324421.0,557.9,461.4,84.0,528.0,29.2,163.3,8769.0,28.8,248,47.1
2120,Statistical Area Level 4 (SA4),7,Sydney - North Sydney and Hornsby,0,2015,2,Persons,2240.0,5.974,5.974302897896461,417043.0,537.1,393.3,86.0,488.0,21.8,111.5,7564.0,19.5,238,48.8
2121,Statistical Area Level 4 (SA4),7,Sydney - North Sydney and Hornsby,1,2016,2,Persons,2280.0,5.089,5.0888140073199555,423586.0,538.3,388.7,86.0,508.0,22.3,114.2,7825.0,19.9,247,48.6
2122,Statistical Area Level 4 (SA4),7,Sydney - North Sydney and Hornsby,2,2017,2,Persons,2201.0,4.407,4.4067136230949435,431365.0,510.2,365.9,86.0,530.0,24.1,115.6,8068.0,20.1,256,48.2
2123,Statistical Area Level 4 (SA4),7,Sydney - North Sydney and Hornsby,3,2018,2,Persons,2221.0,4.681,4.6811189016815815,436571.0,508.7,366.9,85.0,553.0,24.9,119.3,8964.0,22.1,253,45.8
2124,Statistical Area Level 4 (SA4),7,Sydney - North Sydney and Hornsby,4,2019,2,Persons,2313.0,4.467,4.4667560534343975,441358.0,524.1,370.7,85.0,560.0,24.2,119.7,9139.0,22.4,246,44.0
